instagram_handle,creator_name,region_focus,source_countries,followers,engagement_avg,engagement_rate,composite_score,ltk_shopmy_signal,source_urls,ltk_signal,shopmy_signal,signal_source,signal_last_checked,creator_type,style_archetype,price_tier,category_focus,audience_life_stage,commerce_readiness_score,influence_score,matchability_score,audience_fit_score,final_score,scoring_notes,scored_on
sadiesink_,Sadie Sink,US/CA,United States,31200000,3307200,0.106000,0.124936,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,12.49,15,0,27.49,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
harrystyles,Harry Styles,US/CA+Asia,India;Indonesia;Philippines;United States,46800000,2400000,0.051282,0.117106,Unknown,https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-indonesia/;https://hypeauditor.com/top-instagram-fashion-philippines/;https://hypeauditor.com/top-instagram-fashion-united-states/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,11.71,15,0,26.71,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
milliebobbybrown,Millie Bobby Brown,US/CA,United States,63500000,342900,0.005400,0.117010,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,11.70,15,0,26.70,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sally.alhadidi,Sally Zeid Alhadidi,US/CA,Canada,99600,17699,0.177701,0.116143,Unknown,https://www.modash.io/find-influencers/canada/fashion,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,11.61,5,0,16.61,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
carabuono,Cara Buono,US/CA,United States,1300000,221260,0.170200,0.113393,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,11.34,5,0,16.34,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
pemberthy_,Pemberthy,US/CA,United States,194700,32846,0.168701,0.110438,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,11.04,5,0,16.04,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
yasminwijnaldum,Yasmin Wijnaldum,US/CA,United States,1600000,258240,0.161400,0.108185,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,10.82,5,0,15.82,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
hshq,Harry Styles HQ,US/CA,United States,6800000,1000000,0.147059,0.108119,Unknown,https://hypeauditor.com/top-instagram-fashion-united-states/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,10.81,5,0,15.81,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
travisscott,Travis Scott,US/CA,United States,58300000,151580,0.002600,0.105887,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,10.59,15,0,25.59,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sondrablust,sondrablust,US/CA,United States,4800000,675840,0.140800,0.100459,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,10.05,5,0,15.05,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
