instagram_handle,creator_name,region_focus,source_countries,followers,engagement_avg,engagement_rate,composite_score,ltk_shopmy_signal,source_urls,ltk_signal,shopmy_signal,signal_source,signal_last_checked,creator_type,style_archetype,price_tier,category_focus,audience_life_stage,commerce_readiness_score,influence_score,matchability_score,audience_fit_score,final_score,scoring_notes,scored_on
imdboreanaz,David Boreanaz,US/CA,United States,949900,15293,0.016100,0.012180,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.22,5,0,6.22,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
littlemisskhan,Ameera Khan,US/CA+Asia,Malaysia;United States,1800000,24480,0.013600,0.012067,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-phoenix-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.21,5,0,6.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
nikishahdubai,Niki Shah,Asia,United Arab Emirates,2500000,29200,0.011680,0.012065,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.21,5,0,6.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
michopa1030,Michopa (Ikeda Miyu),Asia,Japan,1500000,21500,0.014333,0.012010,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.20,5,0,6.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
tennestissue,Tennessee,US/CA,United States,226100,4025,0.017802,0.011997,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-phoenix-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.20,5,0,6.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
miketoks,Miketoks,US/CA,United States,2800000,29960,0.010700,0.011962,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.20,5,0,6.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
subversivesocialite,Hillary Kaplan,US/CA,Canada,376700,6517,0.017300,0.011938,Unknown,https://www.modash.io/find-influencers/canada/fashion,Yes (Public Post Caption),Unknown,Modash public snippet,2026-02-03,fashion_influencer,unknown,mid,mixed,aspirational,20,1.19,5,0,26.19,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jessechrisss,Jesse,US/CA,Canada,1300000,19175,0.014750,0.011924,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.19,5,0,6.19,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
marmar_moda,Marjan Khodadad,Asia,United Arab Emirates,1000000,15500,0.015500,0.011878,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,parent,0,1.19,5,0,6.19,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
schaalyahya,Scha Alyahya,Asia,Malaysia,6500000,2400,0.000369,0.011833,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.18,5,0,6.18,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
katviras,Katerina Coliviras,US/CA,Canada,92900,1663,0.017901,0.011823,Unknown,https://www.modash.io/find-influencers/canada/fashion,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.18,5,0,6.18,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
zeynabelhelw,Zeynab El-helw,Asia,United Arab Emirates,4000000,28500,0.007125,0.011774,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.18,5,0,6.18,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
waqafella,Khan,US/CA,United States,311600,5360,0.017202,0.011758,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.18,5,0,6.18,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
prettiestyet,Lindsay Bryce,US/CA,United States,75400,1327,0.017599,0.011595,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.16,5,0,6.16,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
roseistheart,Rose,US/CA,United States,265200,4508,0.016998,0.011542,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,romantic,mid,mixed,aspirational,0,1.15,15,0,16.15,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
juuujubee,Julia Fittro,US/CA,United States,196700,3344,0.017001,0.011421,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,athleisure,mid,mixed,aspirational,0,1.14,15,0,16.14,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
vely.mom,VELYMOM,Asia,South Korea,1700000,21800,0.012824,0.011382,Unknown,https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,parent,0,1.14,5,0,6.14,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
i.am_natsuki_,Abe Natsuki,Asia,Japan,1900000,23300,0.012263,0.011373,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.14,5,0,6.14,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
adapcy,Ada Pong,Asia,Hong Kong,183900,3100,0.016857,0.011304,Unknown,https://hypeauditor.com/top-instagram-fashion-hong-kong/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.13,5,0,6.13,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
thecourtneynielson,Courtney Nielson,US/CA,United States,556500,8793,0.015801,0.011281,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.13,5,0,6.13,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
teresafurquet,Teresa Furquet,US/CA,United States,97000,1649,0.017000,0.011242,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.12,5,0,6.12,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
muaazmarwah,معاذ,US/CA,Canada,907900,13392,0.014751,0.011224,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.12,5,0,6.12,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
theyusufs,The Yusufs,US/CA,United States,145400,2415,0.016609,0.011074,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-the-united-states-to-follow-in-2024-style-icons-redefining-the-industry,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.11,5,0,6.11,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
tonififi,Antonia Fifi,US/CA,Canada,767700,11324,0.014751,0.010973,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.10,5,0,6.10,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
daniellewalter,Danielle Walter,US/CA,United States,1300000,16770,0.012900,0.010717,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,publisher,classic,premium,mixed,aspirational,0,1.07,15,0,16.07,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
carolineeewick,Caroline Wick,US/CA,United States,1100000,14520,0.013200,0.010555,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.06,5,0,6.06,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sweetie_lupe,Lucila Galeano,US/CA,United States,1200000,15360,0.012800,0.010473,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.05,5,0,6.05,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
instaglam,instaglam,US/CA,Canada,5600000,3920,0.000700,0.010440,Unknown,https://infludata.com/rankings/top-20-influencer-canada-toronto-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,glam,premium,mixed,aspirational,0,1.04,15,0,16.04,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
amandajlavery,Amanda Lavery,US/CA,Canada,715500,10017,0.014000,0.010390,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.04,5,0,6.04,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
srdubai,Sneha Rebecca,Asia,United Arab Emirates,990600,12900,0.013022,0.010243,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.02,5,0,6.02,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
bielvalldo,Biel,US/CA,United States,158600,2411,0.015202,0.010179,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,1.02,5,0,6.02,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
wei.xeng,Wei Xeng,Asia,South Korea,4000000,17400,0.004350,0.009962,Unknown,https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,1.00,5,0,6.00,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
dreamdoll,DreamDoll,US/CA,United States,5200000,5200,0.001000,0.009921,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.99,5,0,5.99,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sunnylimsl,Sunny Lim Siew Ling,Asia,Singapore,15400,234,0.015195,0.009918,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.99,5,0,5.99,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
stylebymalvika,Malvika,US/CA,United States,141900,2087,0.014708,0.009827,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-the-united-states-to-follow-in-2024-style-icons-redefining-the-industry,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.98,5,0,5.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
anperr,Anna Perrotta,Asia,United Arab Emirates,866400,11000,0.012696,0.009808,Unknown,https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.98,5,0,5.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
msbeltempo,Ms Beltempo,US/CA,Canada,64500,958,0.014853,0.009783,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-canada-to-follow-in-2024,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.98,5,0,5.98,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sanjana_says_cheese,Sanjana Biswas,Asia,Singapore,50800,750,0.014764,0.009700,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.97,5,0,5.97,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
ms_kuan,Christinna Kuan,Asia,Malaysia,934700,11500,0.012303,0.009674,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.97,5,0,5.97,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
enni.tattoo,Enni,US/CA,United States,57000,838,0.014702,0.009671,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.97,5,0,5.97,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
luxlo.xo,Luxlo,US/CA,Canada,950100,11496,0.012100,0.009569,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.96,5,0,5.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
smile_bell_,BELL,Asia,Hong Kong,104200,1500,0.014395,0.009555,Unknown,https://hypeauditor.com/top-instagram-fashion-hong-kong/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.96,5,0,5.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
izzipoopi,IZZI,US/CA,Canada,746500,9182,0.012300,0.009336,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.93,5,0,5.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sophiaxaria,Sophia,US/CA,United States,625700,7884,0.012600,0.009315,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.93,5,0,5.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kaylakane,Kayla Kane,US/CA,United States,105000,1470,0.014000,0.009299,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.93,5,0,5.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
brennaberg,Brenna Berg,US/CA,United States,232100,3157,0.013602,0.009266,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-dallas-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.93,5,0,5.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
titispassion,Titi's Passion,US/CA,United States,118900,1654,0.013911,0.009265,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-the-united-states-to-follow-in-2024-style-icons-redefining-the-industry,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.93,5,0,5.93,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
krisonsum,Krison Sum,Asia,Singapore,145300,2000,0.013765,0.009217,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.92,5,0,5.92,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
luphhelife,Lucila Galeano,US/CA,United States,453500,5850,0.012900,0.009203,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.92,5,0,5.92,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
rashidamarican,Rashidah Marican,Asia,Singapore,18500,255,0.013784,0.009003,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.90,5,0,5.90,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
frankiefictitious,Frankie Fictitious,US/CA,United States,340600,4394,0.012901,0.009002,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.90,5,0,5.90,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mimi__inspiration,Meriam Lahiani,US/CA,United States,307400,3965,0.012899,0.008942,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.89,5,0,5.89,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
boakwon,BoA,Asia,Japan;South Korea,4099999,10300,0.002512,0.008941,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/;https://hypeauditor.com/top-instagram-fashion-south-korea/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.89,5,0,5.89,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kaseyoh,Kasey Oh,US/CA,United States,4400000,7040,0.001600,0.008882,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.89,5,0,5.89,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
cantbuyme80s_,Jordan Rumsey,US/CA,United States,348100,4386,0.012600,0.008819,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.88,5,0,5.88,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
emyjade.g,Emy-jade Greaves,US/CA,Canada,193000,2490,0.012902,0.008739,Unknown,https://www.modash.io/find-influencers/canada/fashion,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.87,5,0,5.87,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
supplechic,Supplechic,US/CA,United States,129700,1695,0.013069,0.008735,Unknown,https://www.upfluence.com/find-influencers/top-fashion-influencers-in-the-united-states-to-follow-in-2024-style-icons-redefining-the-industry,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.87,5,0,5.87,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sanicamehta,Sanica Mehta,US/CA,United States,103200,1331,0.012897,0.008575,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.86,5,0,5.86,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
babyxshadow,BabyShadow,Asia,Hong Kong,119600,1500,0.012542,0.008373,Unknown,https://hypeauditor.com/top-instagram-fashion-hong-kong/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.84,5,0,5.84,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
makikotakizawa,Makiko Takizawa,Asia,Japan,1200000,11500,0.009583,0.008373,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.84,5,0,5.84,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jasminebrown,Jasmine Brown,US/CA,United States,1000000,9500,0.009500,0.007961,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.80,5,0,5.80,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jennal_wang,Jennal Wang,US/CA,United States,86700,1032,0.011903,0.007897,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.79,5,0,5.79,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
nxtasha.ann,natasha leander ann,Asia,Singapore,182600,2100,0.011501,0.007806,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.78,5,0,5.78,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
queyoun,Queyoun Makor,US/CA,United States,583100,6064,0.010400,0.007803,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-dallas-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.78,5,0,5.78,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sarah.rosesummit,Sarah Rose,US/CA,United States,124100,1440,0.011604,0.007769,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,romantic,mid,mixed,aspirational,0,0.78,15,0,15.78,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sugashini_ravi,Sugashini Ravi,Asia,Singapore,18200,214,0.011758,0.007680,Unknown,https://hypeauditor.com/top-instagram-fashion-singapore/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.77,5,0,5.77,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
adventureswvicc,Victoria,US/CA,Canada,1100000,9460,0.008600,0.007552,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.76,5,0,5.76,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
_withsarah,Sarah Lapierre,US/CA,United States,141900,1575,0.011099,0.007471,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.75,5,0,5.75,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
qiuwen1014,Qiu Wen,Asia,Malaysia,932000,8300,0.008906,0.007452,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.75,5,0,5.75,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
carolineemackenzie,Caroline Mackenzie,US/CA,United States,74800,838,0.011203,0.007419,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-seattle-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.74,5,0,5.74,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
bycarlosroberto,Carlos Roberto Juarez,US/CA,United States,279100,2931,0.010502,0.007326,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.73,5,0,5.73,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
annabgomodel,Annabgo,US/CA,United States,3100000,8060,0.002600,0.007211,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,model,classic,premium,mixed,aspirational,0,0.72,15,0,15.72,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
lakshmidevy,Lakshmi Devy,US/CA,United States,1000000,8200,0.008200,0.007113,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.71,5,0,5.71,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
claurojass__,Claudia Rojas,US/CA,United States,1000000,8200,0.008200,0.007113,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,0.71,5,0,5.71,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
madyisonleigh,Madyison Leigh,US/CA,United States,917500,7707,0.008400,0.007096,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-phoenix-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,0.71,5,0,5.71,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
