Brand Name,Website,Logo Status,Logo Path,Message
Whistles,whistles.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Lululemon,lululemon.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Athleta,athleta.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Alo Yoga,aloyoga.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Outdoor Voices,outdoorvoices.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Girlfriend Collective,girlfriend.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Nike,nike.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Adidas,adidas.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Puma,puma.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Reebok,reebok.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Under Armour,underarmour.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Gymshark,gymshark.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Fabletics,fabletics.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Carbon38,carbon38.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bandier,bandier.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
P.E Nation,pe-nation.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Set Active,setactive.co,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Alo,aloyoga.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Beyond Yoga,beyondyoga.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Spiritual Gangster,spiritualgangster.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Varley,varley.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Live The Process,livetheprocess.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Levi's,levis.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
AG Jeans,agjeans.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mother Denim,motherdenim.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Good American,goodamerican.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Agolde,agolde.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Citizens of Humanity,citizensofhumanity.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
7 For All Mankind,7forallmankind.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Joe's Jeans,joesjeans.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
DL1961,dl1961.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
RE/DONE,redone.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Boyish Jeans,boyish.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Grlfrnd,grlfrnd.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
